"Year","Expenditures Month","Import Duty","Excise Duty","Income Tax","VAT","Total Tax Revenue","Non-Tax Revenue","Total Revenue","Programme Grants","Project Grants","Total Grants","Domestic Interest","Foreign Interest","Wages Salaries","Pensions","Other","Total Recurrent Expenditure","Development Expenditure","Total Expenditure"
"2018","August","18175","29284","89560","61802","198822","28285","227106","0","1496","1496","34002","19077","74026","7693","82061","216860","36083","252943"
"2018","July","8299","15926","41767","29938","95931","14224","110156","0","0","0","17312","10462","37013","3300","21385","89473","2204","91676"
"2018","June","99215","162484","640593","356856","1259148","228079","1487227","0","27600","27600","239470","84420","383951","65099","852846","1625786","485673","2111459"
"2018","June","93691","167881","642290","356729","1260591","278815","1539405","0","27886","27886","239470","81605","392823","66046","936413","1716357","489766","2206123"
"2018","May","89169","146330","576431","322619","1134549","173168","1307717","0","25660","25660","214077","66456","358654","54667","749017","1442871","392982","1835853"
"2018","May","89169","146330","576431","322619","1134549","173168","1307717","0","25660","25660","214077","66456","358654","54667","749017","1442871","392982","1835853"
"2018","April","80420","132195","521795","289817","1024226","150937","1175162","0","23696","23696","189923","62785","326049","52751","644738","1276246","366067","1642313"
"2018","March","72872","117481","460769","258548","909670","138106","1047776","-","23307","23307","164585","55595","293444","47039","582914","1143577","341079","1484656"
"2018","February","64929","104706","409145","230545","809326","124163","933490","-","19119","19119","140773","51063","260839","37516","490750","980942","277074","1258016"
"2018","January","58181","92485","377219","203207","731092","109527","840619","-","16305","16305","125891","50339","228234","31736","428487","864688","209851","1074539"
"2017","December","47530","75182","319672","167299","609683","96542","706225","-","14792","14792","114630","41279","195630","27908","338834","718282","209798","928079"
"2017","November","40874","62635","245488","141633","490630","67765","558395","-","9923","9923","89409","25131","163025","22170","240065","539799","143303","683102"
"2017","October","27601","47824","202707","111988","390120","53938","444058","-","4670","4670","70242","19428","122004","16315","168680","396669","121796","518466"
"2017","September","20974","40328","157245","86382","304929","39949","344878","-","6266","6266","49871","12247","97815","10222","114386","284541","57713","342254"
"2017","August","13196","27163","81718","58888","180965","23061","204026","0","1688","1688","29524","7764","65210","7546","37162","147206","24275","171482"
"2017","July","6624","13248","37256","27199","84327","11085","95412","0","81","81","11709","7102","32605","250","26616","78282","5749","84030"
"2017","June","89943","165474","625050","339034","1219501","181077.071","1400578.071","0","26312.44199","26312.44199","212865","53520","360776","62393","794758","1484314","654001","2138314"
"2017","May","81319","149102","547507","305994","1083923","167324","1251247.541","0","20699","20699","188578","44322","307425","52521","680650","1273495","559397","1832892"
"2017","April","72638","134666","482910","274169","964382","141746","1106128","0","22329","22329","164126","38508","300647","50724","572517","1126521","530711","1657232"
"2017","March","65804","121568","412034","246084","845490","130748","976238","0","20479","20479","145792","37280","270582","41911","498174","993739","441360","1435099"
"2017","February","58615.39","109381.1908","364994.0836","217776.7003","750767.3646","118953.5922","869720.9567","0","14157.62852","14157.62852","125425","35590","240517","38697","410153","850382","379645","1230027"
"2017","January","50841.52109","95811.62938","330139.6","190043.6611","666836.4116","105858.222","772694.6336","0","12950.38562","12950.38562","110413","34806","210453","32462","361347","749480","333426","1082905"
"2016","December","42883.20717","81664.37342","289274.6124","160535.766","574357.959","94977.13687","669335.0959","0","6424.705466","6424.705466","100088","25448","180388","30245","308660","644829","251623","896452"
"2016","November","32551.38839","60350.37415","222639.6803","126909.843","442451.2858","70282.22519","512733.511","0","7358.183977","7358.183977","76925","14819","150323","21454","250148","513670","225437","739106"
"2016","October","25843.56966","52977.15494","177381.8191","100833.1487","357035.6924","48255.66682","405291.3592","0","2166.850242","2166.850242","59155","10676","120259","16472","186235","392797","130709","523505"
"2016","September","19968.63459","40427.16792","140854.9956","79648.06236","280898.8605","35270.68447","316169.545","0","1422.36391","1422.36391","36110","9423","75100","14534","158671","293838","81752","375590"
"2016","August","12797.54512","27205.47647","80325.68308","52696.54818","173025.2529","23763.56889","196788.8217","0","25.9295715","25.9295715","26556","7774","45636","7505","95596","183067","6147","189214"
"2016","July","6136.016066","13555.23982","35269.49265","23775.81129","78736.55983","9957.183474","88693.74331","0","0","0","8643","7031","30065","2604","12192","60535","1580","62114"
"2016","June","79187.9336","139540.3433","564475.2125","289213.4665","1072416.956","149597.7813","1222014.737","0","28005.45686","28005.45686","172857","30510","307421","54396","722982","1288167","477201","1765368"
"2016","May","71582.14231","125956.9589","497253.6551","260671.8983","955464.6546","129400.8829","1084865.537","0","26479.99873","26479.99873","153793","21524","305733","47893","598738","1127681","363870","1491552"
"2016","April","64271.45681","111517.0614","445127.8519","234226.4099","855142.7801","118119.1603","973261.9403","0","26075.66772","26075.66772","137821","20254","277939","42278","522803","1001095","337848","1338943"
"2016","March","57792.85821","99129.08722","379543.9953","209242.6494","745708.5902","106669.1213","852377.7115","0","24491.22607","24491.22607","122587","19404","250145","35244","445022","872401","297263","1169665"
"2016","February","47212.8572","77666.67565","299514.6083","164755.3419","589149.483","91728.44685","680877.9299","0","24248.7706","24248.7706","105147","17937","222351","27054","308997","681486","246270","927756"
"2016","January","46501.23675","77032.82898","297878.0652","163068.6597","584480.7907","86459.70986","670940.5006","0","20825.60138","20825.60138","92686","17374","194557","27054","333048","664719","224148","888867"
"2015","December","39170","64705","262184","138036","504095","71145","575240","0","9243","9243","85715","15067","97226","23468","354677","576153","193029","769182"
"2015","November","32733.87589","51809.43513","197436.7202","115132.8087","397112.8399","54172.87957","451285.7194","0","8252.101136","8252.101136","67276","8219","97226","19055","258615","450391","159565","609956"
"2015","October","26230.61618","41110.59975","162202.7777","91824.88556","321368.8791","44114.80483","365483.684","0","6494.625934","6494.625934","51557","5636","52093","14400","215514","339200","57472","396673"
