"Date","Currency","Mean","Buy","Sell"
"01/01/1970","SAUDI RIYAL","24.7965","24.0526","25.2111"
"01/01/1970","SINGAPORE DOLLAR","14.5374","14.1013","14.7848"
"01/01/1970","AUSTRALIAN $","305.9148","296.7374","312.0682"
"01/01/1970","IND RUPEE","66.5108","64.5155","67.6307"
"01/01/1970","CHINESE YUAN","4.4508","4.3173","4.5704"
"01/01/1970","HONGKONG DOLLAR","24.2854","23.5568","24.6921"
"01/01/1970","DAN KRONER","11.7434","11.3911","11.9395"
"01/01/1970","STG POUND","72.9866","70.7970","74.2285"
"01/01/1970","EURO","93.5209","90.7153","95.1305"
"01/01/1970","KES / TSHS","11.7856","11.4320","11.9900"
"01/01/1970","KES / USHS","10.9066","10.5794","11.0926"
"01/01/1970","SA RAND","75.8874","73.6107","77.1860"
"01/01/1970","CAN $","71.0333","68.9023","72.2280"
"01/01/1970","AE DIRHAM","7.7007","7.4697","7.8358"
"01/01/1970","KES / RWF","13.4668","13.0628","13.6936"
"01/01/1970","S FRANC","0.0304","0.0295","0.0310"
"01/01/1970","SW KRONER","0.1295","0.1256","0.1332"
"01/01/1970","NOR KRONER","0.0563","0.0546","0.0591"
"01/01/1970","JPY (100)","0.0487","0.0472","0.0498"
"01/01/1970","KES / BIF","1.4613","1.4175","1.4860"
"01/01/1970","US DOLLAR","100.4232","97.4105","102.1154"
"12/09/2003","KES/TSHS","18.7586","18.7078","18.8094"
"12/09/2003","KES/RWF","7.2254","7.1816","7.2691"
"12/09/2003","KES/BIF","16.9286","16.7908","17.0664"
"12/09/2003","JPY(100)","88.1288","88.0106","88.2471"
"12/09/2003","NOR KRONER","12.6759","12.6602","12.6916"
"12/09/2003","DAN KRONER","14.5142","14.4982","14.5301"
"12/09/2003","SW KRONER","107.4390","107.2467","107.6314"
"12/09/2003","AE DIRHAM","22.9106","22.8836","22.9376"
"12/09/2003","CAN $","85.3697","85.2392","85.5002"
"12/09/2003","IND RUPEE","14.1906","14.1732","14.2081"
"12/09/2003","HONGKONG $","1.5176","1.5162","1.5190"
"12/09/2003","SAUDI RIYAL","67.4374","67.3347","67.5401"
"12/09/2003","S FRANC","13.2670","13.2510","13.2829"
"12/09/2003","CHINESE YUAN","86.3320","86.2225","86.4415"
"12/09/2003","AUSTRALIAN $","22.4390","22.4126","22.4653"
"12/09/2003","SINGAPORE $","10.8489","10.8357","10.8620"
"12/09/2003","STG POUND","133.5040","133.3445","133.6634"
"12/09/2003","EURO","105.7970","105.6726","105.9217"
"12/09/2003","SA RAND","10.0067","9.9831","10.0303"
"12/09/2003","KES/USHS","29.7690","29.6168","29.9213"
"12/09/2003","US DOLLAR","84.1483","84.0539","84.2428"
"12/09/2004","S FRANC","13.2819","13.2663","13.2975"
"12/09/2004","CHINESE YUAN","86.8547","86.7433","86.9660"
"12/09/2004","SAUDI RIYAL","67.3140","67.2187","67.4093"
"12/09/2004","AUSTRALIAN $","22.4838","22.4576","22.5099"
"12/09/2004","CHINESE YUAN","86.8547","86.7433","86.9660"
"12/09/2004","US DOLLAR","84.3208","84.2250","84.4167"
"12/09/2004","STG POUND","133.1310","132.9731","133.2883"
"12/09/2004","EURO","105.4310","105.2955","105.5656"
"12/09/2004","KES/USHS","29.6488","29.5558","29.7418"
"12/09/2004","KES/TSHS","18.6372","18.5627","18.7118"
"12/09/2004","KES/RWF","7.2106","7.1668","7.2544"
"12/09/2004","AE DIRHAM","22.9563","22.9296","22.9830"
"12/09/2004","JPY(100)","87.8087","87.6870","87.9304"
"12/09/2004","SW KRONER","107.4490","107.2630","107.6344"
"12/09/2004","CAN $","85.0242","84.8586","85.1898"
"12/09/2004","KES/BIF","16.8940","16.7562","17.0318"
"12/09/2004","SA RAND","9.9434","9.9248","9.9620"
"12/09/2004","NOR KRONER","12.6111","12.5902","12.6319"
"12/09/2004","DAN KRONER","14.5024","14.4803","14.5246"
"12/09/2004","IND RUPEE","14.1466","14.1301","14.1632"
"12/09/2004","HONGKONG $","1.5137","1.5113","1.5162"
"12/09/2004","SINGAPORE $","10.8718","10.8592","10.8843"
"12/09/2004","EURO","105.4310","105.2955","105.5656"
"12/09/2004","SA RAND","9.9434","9.9248","9.9620"
"12/09/2004","KES/RWF","7.2106","7.1668","7.2544"
"12/09/2004","KES/BIF","16.8940","16.7562","17.0318"
"12/09/2004","AE DIRHAM","22.9563","22.9296","22.9830"
"12/09/2004","JPY(100)","87.8087","87.6870","87.9304"
"12/09/2004","NOR KRONER","12.6111","12.5902","12.6319"
"12/09/2004","DAN KRONER","14.5024","14.4803","14.5246"
"12/09/2004","SW KRONER","107.4490","107.2630","107.6344"
"12/09/2004","CAN $","85.0242","84.8586","85.1898"
"12/09/2004","KES/USHS","29.6488","29.5558","29.7418"
"12/09/2004","KES/TSHS","18.6372","18.5627","18.7118"
"12/09/2004","IND RUPEE","14.1466","14.1301","14.1632"
"12/09/2004","SINGAPORE $","10.8718","10.8592","10.8843"
"12/09/2004","AUSTRALIAN $","22.4838","22.4576","22.5099"
"12/09/2004","S FRANC","13.2819","13.2663","13.2975"
"12/09/2004","SAUDI RIYAL","67.3140","67.2187","67.4093"
"12/09/2004","HONGKONG $","1.5137","1.5113","1.5162"
"12/09/2004","US DOLLAR","84.3208","84.2250","84.4167"
"12/09/2004","STG POUND","133.1310","132.9731","133.2883"
"02/11/2004","US DOLLAR","81.2078","81.1078","81.3078"
"02/11/2004","STG POUND","148.8180","148.6200","149.0170"
"02/11/2004","EURO","103.3680","103.2190","103.5180"
"02/11/2004","SA RAND","13.2639","13.2233","13.3046"
"02/11/2004","KES/USHS","21.2894","21.2035","21.3753"
"02/11/2004","KES/TSHS","12.9299","12.8524","13.0074"
"02/11/2004","AE DIRHAM","22.1112","22.0828","22.1396"
"02/11/2004","CAN $","66.4226","66.3321","66.5132"
"02/11/2004","S FRANC","67.5105","67.4161","67.6049"
"02/11/2004","JPY(100)","76.2310","76.1227","76.3393"
"02/11/2004","SW KRONER","11.3908","11.3740","11.4077"
"02/11/2004","NOR KRONER","12.6561","12.6433","12.6689"
"02/11/2004","DAN KRONER","13.9085","13.8902","13.9269"
"02/11/2004","IND RUPEE","1.7889","1.7864","1.7913"
"02/11/2004","HONGKONG $","10.4388","10.4246","10.4530"
"02/11/2004","SINGAPORE $","48.7296","48.6549","48.8042"
"02/11/2004","SAUDI RIYAL","21.6543","21.6264","21.6821"
"02/11/2004","AUSTRALIAN $","60.4836","60.3847","60.5824"
"03/11/2004","STG POUND","148.9950","148.7970","149.1920"
"03/11/2004","US DOLLAR","81.2117","81.1144","81.3089"
"03/11/2004","EURO","102.8440","102.7080","102.9800"
"03/11/2004","SA RAND","13.1779","13.1178","13.2381"
"03/11/2004","KES/USHS","21.2741","21.2092","21.3390"
"03/11/2004","KES/TSHS","12.9908","12.9137","13.0680"
"03/11/2004","AE DIRHAM","22.1111","22.0834","22.1387"
"03/11/2004","CAN $","66.1466","66.0558","66.2374"
"03/11/2004","S FRANC","67.0516","66.9628","67.1403"
"03/11/2004","JPY(100)","76.2109","76.1110","76.3109"
"03/11/2004","SW KRONER","11.3121","11.3051","11.3191"
"03/11/2004","NOR KRONER","12.5711","12.5467","12.5956"
"03/11/2004","DAN KRONER","13.8360","13.8182","13.8537"
"03/11/2004","IND RUPEE","1.7847","1.7824","1.7871"
"03/11/2004","HONGKONG $","10.4349","10.4220","10.4478"
"03/11/2004","SINGAPORE $","48.6560","48.5832","48.7288"
"03/11/2004","SAUDI RIYAL","21.6541","21.6276","21.6806"
"03/11/2004","AUSTRALIAN $","60.6286","60.5357","60.7215"
"04/11/2004","US DOLLAR","81.1472","81.0500","81.2444"
"04/11/2004","STG POUND","149.9390","149.7300","150.1480"
"04/11/2004","EURO","104.0250","103.8960","104.1540"
"04/11/2004","SA RAND","13.2981","13.2411","13.3551"
"04/11/2004","KES/USHS","21.2947","21.2076","21.3819"
"04/11/2004","KES/TSHS","13.0627","13.0224","13.1030"
"04/11/2004","AE DIRHAM","22.0929","22.0652","22.1206"
"04/11/2004","CAN $","67.2502","67.1577","67.3426"
"04/11/2004","S FRANC","67.9806","67.8799","68.0813"
"04/11/2004","JPY(100)","76.3443","76.2438","76.4449"
"04/11/2004","SW KRONER","11.4235","11.4160","11.4310"
"04/11/2004","NOR KRONER","12.7567","12.7433","12.7700"
"04/11/2004","DAN KRONER","13.9969","13.9756","14.0183"
"04/11/2004","IND RUPEE","1.7905","1.7880","1.7929"
"04/11/2004","HONGKONG $","10.4314","10.4183","10.4446"
"04/11/2004","SINGAPORE $","48.8163","48.7431","48.8894"
"04/11/2004","SAUDI RIYAL","21.6375","21.6105","21.6646"
"04/11/2004","AUSTRALIAN $","61.3149","61.2009","61.4289"
"05/11/2004","US DOLLAR","81.1306","81.0333","81.2278"
"05/11/2004","STG POUND","149.6430","149.4390","149.8470"
"05/11/2004","EURO","104.4850","104.3370","104.6330"
"05/11/2004","SA RAND","13.2567","13.2056","13.3079"
"05/11/2004","KES/USHS","21.3263","21.2058","21.4467"
"05/11/2004","KES/TSHS","12.9977","12.9266","13.0687"
"05/11/2004","AE DIRHAM","22.0887","22.0607","22.1166"
"05/11/2004","CAN $","67.2179","67.1244","67.3114"
"05/11/2004","S FRANC","68.3714","68.2717","68.4710"
"05/11/2004","JPY(100)","76.4613","76.3533","76.5693"
"05/11/2004","SW KRONER","11.4648","11.4240","11.5056"
"05/11/2004","NOR KRONER","12.7767","12.7522","12.8011"
"05/11/2004","DAN KRONER","14.0593","14.0364","14.0822"
"05/11/2004","IND RUPEE","1.7996","1.7970","1.8021"
"05/11/2004","HONGKONG $","10.4377","10.4247","10.4507"
"05/11/2004","SINGAPORE $","49.0245","48.9509","49.0980"
"05/11/2004","SAUDI RIYAL","21.6340","21.6072","21.6607"
"05/11/2004","AUSTRALIAN $","61.4118","61.3179","61.5057"
"08/11/2004","US DOLLAR","81.1444","81.0444","81.2444"
"08/11/2004","STG POUND","150.5630","150.3530","150.7720"
"08/11/2004","EURO","105.2780","105.1260","105.4290"
"08/11/2004","SA RAND","13.2014","13.1356","13.2673"
"08/11/2004","KES/USHS","21.1938","21.1061","21.2815"
"08/11/2004","KES/TSHS","13.0447","13.0101","13.0792"
"08/11/2004","AE DIRHAM","22.0922","22.0637","22.1206"
"08/11/2004","CAN $","67.8748","67.7772","67.9723"
"08/11/2004","S FRANC","68.8970","68.7971","68.9970"
"08/11/2004","JPY(100)","76.9049","76.7895","77.0202"
"08/11/2004","SW KRONER","11.5494","11.5206","11.5783"
"08/11/2004","NOR KRONER","12.8694","12.8444","12.8944"
"08/11/2004","DAN KRONER","14.1658","14.1422","14.1894"
"08/11/2004","IND RUPEE","1.7989","1.7963","1.8015"
"08/11/2004","HONGKONG $","10.4418","10.4276","10.4560"
"08/11/2004","SINGAPORE $","49.0996","49.0257","49.1735"
"08/11/2004","SAUDI RIYAL","21.6368","21.6090","21.6646"
"08/11/2004","AUSTRALIAN $","61.6860","61.5857","61.7864"
"09/11/2004","US DOLLAR","81.1500","81.0500","81.2500"
"09/11/2004","STG POUND","150.4120","150.2080","150.6160"
"09/11/2004","EURO","104.7940","104.6450","104.9430"
"09/11/2004","SA RAND","13.0608","13.0133","13.1083"
"09/11/2004","KES/USHS","21.3190","20.9231","21.7150"
"09/11/2004","KES/TSHS","13.0500","13.0092","13.0907"
"09/11/2004","AE DIRHAM","22.0937","22.0652","22.1221"
"09/11/2004","CAN $","67.9380","67.8446","68.0313"
"09/11/2004","S FRANC","68.6199","68.5205","68.7192"
"09/11/2004","JPY(100)","76.7581","76.6464","76.8699"
"09/11/2004","SW KRONER","11.4932","11.4746","11.5118"
"09/11/2004","NOR KRONER","12.7194","12.7056","12.7333"
"09/11/2004","DAN KRONER","14.1069","14.0883","14.1255"
"09/11/2004","IND RUPEE","1.7966","1.7943","1.7988"
"09/11/2004","HONGKONG $","10.4353","10.4218","10.4488"
"09/11/2004","SINGAPORE $","49.1074","49.0321","49.1828"
"09/11/2004","SAUDI RIYAL","21.6389","21.6110","21.6667"
"09/11/2004","AUSTRALIAN $","61.4671","61.3711","61.5631"
"10/11/2004","US DOLLAR","81.1439","81.0500","81.2378"
"10/11/2004","STG POUND","150.5440","150.3400","150.7480"
"10/11/2004","EURO","104.6480","104.5060","104.7910"
"10/11/2004","SA RAND","13.0294","12.9856","13.0733"
"10/11/2004","KES/USHS","21.1355","20.9262","21.3449"
"10/11/2004","KES/TSHS","13.0448","13.0112","13.0784"
"10/11/2004","AE DIRHAM","22.0938","22.0670","22.1206"
"10/11/2004","CAN $","67.7040","67.6062","67.8019"
"10/11/2004","S FRANC","68.5343","68.4400","68.6287"
"10/11/2004","JPY(100)","76.6592","76.5530","76.7653"
"10/11/2004","SW KRONER","11.4692","11.4298","11.5086"
"10/11/2004","NOR KRONER","12.7050","12.6800","12.7300"
"10/11/2004","DAN KRONER","14.0782","14.0558","14.1006"
"10/11/2004","IND RUPEE","1.7967","1.7945","1.7990"
"10/11/2004","HONGKONG $","10.4324","10.4169","10.4478"
"10/11/2004","SINGAPORE $","49.0385","48.9669","49.1100"
