,Year,Month,Total Recurrent Expenditure,Development Expenditure,Total Expenditure,Total_Remittances(USD),Inflation,Trade_Balance,Total_Imports,Nominal GDP prices (Ksh Million),Annual GDP growth (%),Real GDP prices (Ksh Million)
0,2018,8,216860,36083,252943,"215,556.38",4.63,"-98,835.28","149,822.17","8,892,111",6.3,"4,792,174"
1,2018,7,89473,2204,91676,"215,268.48",4.95,"-99,823.70","152,706.62","8,892,111",6.3,"4,792,174"
2,2018,6,1625786,485673,2111459,"266,186.58",5.2,"-89,605.89","142,525.14","8,892,111",6.3,"4,792,174"
3,2018,6,1716357,489766,2206123,"266,186.58",5.2,"-89,605.89","142,525.14","8,892,111",6.3,"4,792,174"
4,2018,5,1442871,392982,1835853,"253,734.04",5.61,"-112,706.23","168,020.10","8,892,111",6.3,"4,792,174"
5,2018,5,1442871,392982,1835853,"253,734.04",5.61,"-112,706.23","168,020.10","8,892,111",6.3,"4,792,174"
6,2018,4,1276246,366067,1642313,"217,101.47",6.24,"-100,097.97","150,095.55","8,892,111",6.3,"4,792,174"
7,2018,3,1143577,341079,1484656,"222,222.55",6.89,"-101,045.76","152,038.51","8,892,111",6.3,"4,792,174"
8,2018,2,980942,277074,1258016,"210,361.58",7.4,"-71,671.60","128,943.27","8,892,111",6.3,"4,792,174"
9,2018,1,864688,209851,1074539,"208,921.56",7.79,"-104,073.46","157,521.59","8,892,111",6.3,"4,792,174"
10,2017,12,718282,209798,928079,"203,819.83",7.98,"-92,453.63","141,763.03","8,165,842",4.8,"4,507,377"
11,2017,11,539799,143303,683102,"175,181.19",8.15,"-87,276.06","138,150.71","8,165,842",4.8,"4,507,377"
12,2017,10,396669,121796,518466,"185,503.87",8.33,"-98,771.19","147,856.57","8,165,842",4.8,"4,507,377"
13,2017,9,284541,57713,342254,"176,098.17",8.4,"-91,411.34","141,786.92","8,165,842",4.8,"4,507,377"
14,2017,8,147206,24275,171482,"166,411.72",8.36,"-102,624.50","144,290.78","8,165,842",4.8,"4,507,377"
15,2017,7,78282,5749,84030,"152,309.27",8.21,"-112,651.65","165,573.49","8,165,842",4.8,"4,507,377"
16,2017,6,1484314,654001,2138314,"154,876.06",8.13,"-91,439.67","143,013.54","8,165,842",4.8,"4,507,377"
17,2017,5,1273495,559397,1832892,"161,500.79",7.84,"-98,751.87","151,422.18","8,165,842",4.8,"4,507,377"
18,2017,4,1126521,530711,1657232,"138,604.21",7.2,"-84,259.95","129,061.41","8,165,842",4.8,"4,507,377"
19,2017,3,993739,441360,1435099,"147,529.74",6.76,"-87,077.47","141,129.27","8,165,842",4.8,"4,507,377"
20,2017,2,850382,379645,1230027,"142,665.82",6.43,"-82,883.25","130,840.52","8,165,842",4.8,"4,507,377"
21,2017,1,749480,333426,1082905,"142,403.10",6.26,"-101,893.70","150,734.13","8,165,842",4.8,"4,507,377"
22,2016,12,644829,251623,896452,"160,940.65",6.3,"-76,470.31","123,150.81","7,022,963",5.9,"4,300,699"
23,2016,11,513670,225437,739106,"143,690.64",6.43,"-79,842.69","129,493.73","7,022,963",5.9,"4,300,699"
24,2016,10,392797,130709,523505,"142,554.52",6.48,"-73,088.41","115,177.80","7,022,963",5.9,"4,300,699"
25,2016,9,293838,81752,375590,"143,188.32",6.5,"-78,222.84","124,427.15","7,022,963",5.9,"4,300,699"
26,2016,8,183067,6147,189214,"146,744.28",6.47,"-85,972.51","133,003.72","7,022,963",5.9,"4,300,699"
27,2016,7,60535,1580,62114,"134,661.39",6.44,"-69,274.54","117,320.91","7,022,963",5.9,"4,300,699"
28,2016,6,1288167,477201,1765368,"146,658.36",6.46,"-79,104.30","127,317.35","7,022,963",5.9,"4,300,699"
29,2016,5,1127681,363870,1491552,"146,759.92",6.59,"-66,288.77","116,150.48","7,022,963",5.9,"4,300,699"
